date_bin,TEMP,HUM,CO2,PM1,PM2.5,PM5,PM10,HCHO,VOC,NO2,NOISE,DOOR1,WINDOW1,WINDOW2,VENT. TYPE,VENT. TIME,EXT. TEMP,EXT. HUM,EXT. PM2.5,EXT. PM10,EXT. NO2,EXT. CO
2024-07-21 19:55:00,23.5,51.6,793,2.45,2.84,3.04,3.14,0,850,47,23,0,0,0,no ventilation,5,24.3,74,8,36,9,0.3
2024-07-21 20:00:00,23.3,52.4,749,2.54,2.81,2.92,2.97,0,805,114.2,20,0,0,0,no ventilation,10,24.3,73,8,28,8,0.2
2024-07-21 20:05:00,23.4,54.9,711,2.48,2.73,2.82,2.86,0,753,105.8,22,0,0,0,no ventilation,15,24.3,73,8,28,8,0.2
2024-07-21 20:10:00,23.4,55.6,676,2.34,2.58,2.66,2.71,0,713,90.7,21,0,0,0,no ventilation,20,24.3,73,8,28,8,0.2
2024-07-21 20:15:00,23.4,54.8,676,2.29,2.52,2.6,2.65,0,678,80.7,20,0,0,0,no ventilation,25,24.3,73,8,28,8,0.2
2024-07-21 20:20:00,23.4,54.3,670,2.47,2.74,2.84,2.89,0,652,73.9,23,0,0,0,no ventilation,30,24.3,73,8,28,8,0.2
2024-07-21 20:25:00,23.4,54.1,653,2.32,2.54,2.62,2.66,0,628,70.7,21,0,0,0,no ventilation,35,24.3,73,8,28,8,0.2
2024-07-21 20:30:00,23.3,53.2,626,2.18,2.36,2.41,2.43,0,609,67.3,21,0,0,0,no ventilation,40,24.1,73,8,28,8,0.2
2024-07-21 20:35:00,23.3,53.1,633,2.28,2.45,2.49,2.51,0,595,63.5,26,0,0,0,no ventilation,45,24.1,73,8,28,8,0.2
2024-07-21 20:45:00,23.9,51.7,765,2.4,3.03,3.45,3.65,0,614,6,28,0,0,0,no ventilation,50,24.1,73,8,28,8,0.2
2024-07-21 20:50:00,24.8,48.4,693,2.24,2.5,2.61,2.66,0,629,11.6,23,0,0,0,no ventilation,55,24.1,73,8,28,8,0.2
2024-07-22 11:15:00,23.1,54.6,437,2.35,2.57,2.64,2.67,0,834,15.6,32,0,0,0,no ventilation,60,30.6,37,5,19,5,0.2
