date_bin,TEMP,HUM,CO2,PM1,PM2.5,PM5,PM10,HCHO,VOC,NO2,NOISE,DOOR 1,WINDOW 1,WINDOW 2,VENT. TYPE,VENT. TIME,EXT. TEMP,EXT. HUM,EXT. PM2.5,EXT. PM10,EXT. NO2,EXT. CO
2024-07-21 19:50:00,"25,4","44,4",773,"2,13","2,45","2,62","2,7",0,767,"10,2",24,0,0,0,no ventilation,5,"24,3",74,8,36,9,"0,3"
2024-07-21 19:55:00,"25,3","45,3",743,"2,3","2,48","2,52","2,54",0,781,31,24,0,0,0,no ventilation,10,"24,3",74,8,36,9,"0,3"
2024-07-21 20:00:00,"25,3","45,4",723,"2,6","2,86","2,96","3,01",0,757,"19,8",19,0,0,0,no ventilation,15,"24,3",73,8,28,8,"0,2"
2024-07-21 20:05:00,"25,4","47,4",683,"2,28","2,53","2,63","2,68",0,738,"26,1",26,0,0,0,no ventilation,20,"24,3",73,8,28,8,"0,2"
2024-07-21 20:10:00,"25,5","48,6",663,"2,24","2,53","2,66","2,72",0,705,"20,1",22,0,0,0,no ventilation,25,"24,3",73,8,28,8,"0,2"
2024-07-21 20:15:00,"25,4","47,7",655,"2,28","2,57","2,71","2,78",0,674,"4,9",23,0,0,0,no ventilation,30,"24,3",73,8,28,8,"0,2"
2024-07-21 20:20:00,"25,5","47,5",646,"2,21","2,46","2,58","2,63",0,650,"4,8",24,0,0,0,no ventilation,35,"24,3",73,8,28,8,"0,2"
2024-07-21 20:25:00,"25,4","47,1",631,"2,22","2,47","2,58","2,64",0,630,"1,9",21,0,0,0,no ventilation,40,"24,3",73,8,28,8,"0,2"
2024-07-21 20:30:00,"25,3","46,4",614,"2,3","2,55","2,64","2,69",0,615,"3,3",25,0,0,0,no ventilation,45,"24,1",73,8,28,8,"0,2"
2024-07-21 20:35:00,"25,3","46,2",617,"2,06","2,26","2,34","2,37",0,603,"1,1",22,0,0,0,no ventilation,50,"24,1",73,8,28,8,"0,2"
2024-07-21 21:00:00,"25,4","45,9",711,"1,91","2,04","2,07","2,08",0,616,27,21,0,0,0,no ventilation,55,"24,3",71,7,20,9,"0,1"
2024-07-21 21:05:00,"26,3","43,4",688,"1,95","2,06","2,06","2,06",0,649,"25,8",23,1,1,1,crossed,5,"24,3",71,7,20,9,"0,1"
2024-07-22 13:15:00,"28,7","50,9",594,"2,38","2,51","2,51","2,51",0,1150,94,36,1,1,1,crossed,10,31,37,7,27,13,"0,2"
2024-07-22 13:20:00,"29,6","48,1",480,"1,97","2,09","2,09","2,09",0,1135,"111,9",33,1,1,1,crossed,15,31,37,7,27,13,"0,2"
2024-07-22 13:25:00,"30,2","46,7",419,"1,86","1,97","1,97","1,97",0,1017,"99,2",30,0,1,1,2 windows,5,31,37,7,27,13,"0,2"
2024-07-22 13:30:00,"30,4","46,1",427,"1,81","1,91","1,91","1,91",0,940,"84,4",31,0,1,1,2 windows,10,"30,3",38,7,27,13,"0,2"
